,open,close,high,low,volume,money
2016-12-09,160.33,160.26,160.33,160.2,14090600.0,145831715.0
2016-12-12,160.3,160.1,160.3,160.06,36793500.0,374181132.0
2016-12-13,160.12,160.01,160.12,159.96,59524900.0,613996987.0
2016-12-14,160.03,159.95,160.05,159.92,32338800.0,332444423.0
2016-12-15,159.96,159.62,159.96,159.58,103318900.0,1061649879.0
2016-12-16,159.63,159.59,159.66,159.5,79365700.0,803332638.0
2016-12-19,159.63,159.57,159.66,159.54,72421700.0,732355931.0
2016-12-20,159.59,159.49,159.63,159.37,72692500.0,736464868.0
2016-12-21,159.5,159.53,159.58,159.5,81011400.0,820057370.0
2016-12-22,159.55,159.72,159.72,159.55,70527100.0,718103331.0
2016-12-23,159.73,159.78,159.79,159.69,89971000.0,919454778.0
2016-12-26,159.83,159.85,159.89,159.75,63498600.0,650572507.0
2016-12-27,159.87,159.74,159.9,159.64,73148600.0,749389808.0
2016-12-28,159.76,159.51,159.76,159.49,56271800.0,575697185.0
2016-12-29,159.52,159.67,159.68,159.52,35093600.0,362034920.0
2016-12-30,159.69,159.79,159.82,159.65,36977300.0,378871582.0
2017-01-03,159.85,159.71,159.88,159.68,27072500.0,278421641.0
2017-01-04,159.73,159.73,159.75,159.7,23803200.0,244800519.0
2017-01-05,159.74,159.67,159.76,159.65,34637400.0,353995210.0
2017-01-06,159.69,159.66,159.74,159.65,33784900.0,345502573.0
2017-01-09,159.71,159.73,159.76,159.71,59013700.0,613009089.0
2017-01-10,159.75,159.72,159.8,159.71,34905000.0,363356665.0
2017-01-11,159.73,159.66,159.74,159.62,14481100.0,149843574.0
2017-01-12,159.67,159.7,159.7,159.66,9724800.0,100362322.0
2017-01-13,159.71,159.67,159.72,159.67,23195200.0,240082851.0
2017-01-16,159.72,159.72,159.72,159.68,21964500.0,224650148.0
2017-01-17,159.72,159.62,159.73,159.59,30914400.0,318723438.0
2017-01-18,159.63,159.63,159.64,159.63,12084200.0,123095637.0
2017-01-19,159.65,159.63,159.65,159.63,18140800.0,186371422.0
2017-01-20,159.64,159.68,159.68,159.64,13941600.0,141402119.0
2017-01-23,159.73,159.67,159.73,159.67,8778200.0,89136031.0
2017-01-24,159.71,159.76,159.76,159.7,22978000.0,234816998.0
2017-01-25,159.78,159.66,159.78,159.66,23338300.0,238337813.0
2017-01-26,159.67,159.71,159.71,159.62,4087800.0,40741722.0
2017-02-03,159.82,159.8,159.85,159.79,21993800.0,225815324.0
2017-02-06,159.85,159.75,159.85,159.71,28265000.0,287471981.0
2017-02-07,159.77,159.66,159.8,159.62,23027400.0,229691300.0
2017-02-08,159.67,159.68,159.69,159.62,29085300.0,289603684.0
2017-02-09,159.7,159.73,159.74,159.66,28491600.0,288811514.0
2017-02-10,159.74,159.72,159.74,159.63,12128100.0,119958144.0
2017-02-13,159.76,159.76,159.78,159.71,19915300.0,197859168.0
2017-02-14,159.78,159.76,159.78,159.75,20958200.0,212526845.0
2017-02-15,159.77,159.71,159.79,159.71,45826000.0,464674523.0
2017-02-16,159.73,159.71,159.73,159.68,12829600.0,128490352.0
2017-02-17,159.73,159.73,159.84,159.71,58751300.0,600659446.0
